
New experiment:
Iteration, Num_Ver(Uc), Num_Ver(Xc), Runtime
1, 16, 4, 1062.4020099639893
2, 256, 64, 1063.7681484222412
3, 65536, 16384, 1238.4192943572998

Runtime:  5137.425184249878

New experiment:
Iteration, Num_Ver(Uc), Num_Ver(Xc), Runtime
1, 4, 4, 1646.6658115386963
2, 16, 16, 1647.1588611602783
3, 256, 256, 1648.7836837768555
4, 65536, 65536, 1799.0078926086426

Runtime:  19911.714792251587
