New experiment:,,,,
Iteration, Num_Cons(Xout), Num_Ver(Xout), Volume(Xout), Runtime
1,4,4,1.80E+01,1281.378269
2,6,6,1.12E+04,1289.237022
3,8,8,1.24E+06,1297.36805
4,10,10,1.31E+08,1304.959059
5,12,12,1.39E+10,1312.908173
6,14,14,1.47E+12,1322.553158
7,16,16,1.55E+14,1330.929995
8,18,18,1.65E+16,1340.431213
9,20,20,1.74E+18,1350.61717
10,22,22,1.85E+20,1361.305237
11,24,24,1.96E+22,1373.016119
12,26,26,2.07E+24,1387.354136
13,28,28,2.19E+26,1401.024103
14,30,30,2.32E+28,1414.820194
15,32,32,2.46E+30,1429.425955
16,34,34,2.61E+32,1447.089911
17,36,36,2.76E+34,1464.534044
18,38,38,2.92E+36,1482.560158
19,40,40,3.10E+38,1502.037048
20,42,42,3.28E+40,1521.571159
21,44,44,3.47E+42,1543.429136
22,46,46,3.68E+44,1565.787315
23,48,48,3.90E+46,1589.42318
24,50,50,4.13E+48,1613.268137
25,52,52,4.37E+50,1639.778137
26,54,54,4.63E+52,1666.015148
27,56,56,4.90E+54,1693.704128
28,58,58,5.20E+56,1721.636295
29,60,60,5.50E+58,1751.727104
30,62,62,5.83E+60,1782.669067
31,64,64,6.17E+62,1814.596176
32,66,66,6.54E+64,1847.387314
33,68,68,6.92E+66,1879.767179
34,70,70,7.33E+68,1912.602186
35,72,72,7.77E+70,1949.328899
36,74,74,8.23E+72,1986.532211
37,76,76,8.71E+74,2026.077032
38,78,78,9.23E+76,2069.636106
39,80,80,9.78E+78,2113.229275
40,82,82,1.04E+81,2160.464287
41,84,84,1.10E+83,2209.488153
42,86,86,1.16E+85,2259.064198
43,88,88,1.23E+87,2312.377214
44,90,90,1.30E+89,2367.185116
45,92,92,1.38E+91,2419.499159
46,94,94,1.46E+93,2477.349997
47,96,96,1.55E+95,2536.968946
48,98,98,1.64E+97,2601.152182
49,100,100,1.74E+99,2661.81922
50,102,102,1.84E+101,2726.693153
,,,,
Runtime:  2748.392105102539,,,,
New experiment:
Iteration, Num_Cons(Xout), Num_Ver(Xout), Volume(Xout), Runtime
1, 4, 4, '1.800000e+01', 3070.059061050415

Runtime:  3082.474946975708

New experiment:
Iteration, Num_Cons(Xout), Num_Ver(Xout), Volume(Xout), Runtime
1, 4, 4, '1.800000e+01', 1902.0748138427734

Runtime:  1904.4830799102783
