
New Experiment:

 ep = 2
Iteration, Num_Ver(Xc), Volume(Xc), Runtime
1, 4, 18, 0.004240989685058594
2, 16, 2098.0, 0.03396916389465332
3, 64, 4498.0, 0.06525516510009766
4, 256, 8626.0, 0.12943410873413086
5, 1024, 13074.0, 0.32471203804016113
6, 4096, 19250.0, 1.07499098777771
7, 16384, 25746.0, 4.218438148498535
8, 65536, 33970.0, 24.02043890953064

Runtime:  28224.788188934326

New Experiment:

 ep = 0.200000000000000
Iteration, Num_Ver(Xc), Volume(Xc), Runtime
1, 4, 18, 0.004370927810668945
2, 16, 226.00000000000014, 0.032312870025634766
3, 64, 281.68, 0.06577777862548828
4, 256, 510.16, 0.12518787384033203
5, 1024, 586.3199999999999, 0.3103370666503906
6, 4096, 835.28, 1.005990982055664
7, 16384, 931.9200000000002, 4.015058994293213
8, 65536, 1201.3600000000001, 23.408864974975586

Runtime:  28545.21608352661

New Experiment:

 ep = 10
Iteration, Num_Ver(Xc), Volume(Xc), Runtime
1, 4, 18, 0.0039708614349365234
2, 16, 10418.0, 0.02979588508605957
3, 64, 63378.0, 0.061563968658447266
4, 256, 124978.0, 0.12571096420288086
5, 1024, 229138.0, 0.31836795806884766
6, 4096, 341938.0, 1.0593879222869873
7, 16384, 497298.0, 4.220022678375244
8, 65536, 661298.0, 24.462700843811035

Runtime:  29376.8310546875
