New Experiment:,,,,
Iteration, Num_Cons(Xout), Num_Ver(Xout), Volume(Xout), Runtime
1,6,6, '2.674500e+03',1.374080896
2,8,8, '3.194822e+10',1.405874968
3,10,10, '3.185434e+14',1.633994818
4,12,12, '3.169359e+18',3.434825897
5,14,14, '3.153355e+22',21.02980185
6,18,18, '3.137430e+26',327.5335982
,,,,
Total runtime = 327536.9411 ms for 6 iterations,,,,
